videoId,username,nickname,views,likes,comments,shares,saves,description,hashtags,videoUrl,scrapeDate
"7554009777232416056","dominika_ch43","𝘿𝙤𝙢𝙞𝙣𝙞𝙠𝙖||𝙘𝙝","5300000","167500","6631","17500","11300","Hari ini menu mbg nya apa tuan  Daging hiu nak #mbg  Kasus Keracunan MBG di Ketapang  Kalbar Lokasi & Korban: Sebanyak 25 orang (24 siswa dan 1 guru) SDN 12 Benua Kayong  Ketapang  Kalimantan Barat  mengalami keracunan massal setelah menyantap menu MBG. Penyebab Dugaan: Menu yang disajikan adalah ikan hiu/nugget hiu. Beberapa saksi menyebut bau ikan amis dan sayur yang disajikan pun berlendir. Gejala: Korban mengalami mual  sakit perut  dan demam. Sebagian sudah pulang  sisanya masih mendapat perawatan. Tanggapan Resmi: Kepala Regional MBG Kalbar menyebut penggunaan menu ikan hiu adalah bentuk keteledoran dari pihak penyedia makanan (SPPG). Badan Gizi Nasional (BGN) menegaskan ikan hiu bukan menu resmi MBG  dan kasus ini terjadi karena rekomendasi lokal. Dinas kesehatan serta BPOM melakukan uji sampel untuk memastikan penyebab pasti keracunan. Kekhawatiran: Ikan hiu dinilai tidak lazim untuk konsumsi anak-anak karena berisiko mengandung merkuri tinggi. Langkah Lanjutan: Pemerintah menegaskan akan mengevaluasi SPPG yang lalai  serta memperketat standar keamanan makanan agar kasus serupa tidak terulang. #keracunanmakanan#makanbergizigratis#pemerintah","mbg keracunanmakanan makanbergizigratis pemerintah","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","2026-04-10T03:05:41.984Z"
"7626325569449315602","indonesiabelummerdeka","indonesia belum merdeka","34900","340","47","132","49","udah bener bener kacau ini proyek penghancur keuangan negara  dihambur hamburkan pajak yg gw bayar 😡😡😡😡 #mbg #program #korupsi #motormbg #fypage ","mbg program korupsi motormbg fypage","https://www.tiktok.com/@indonesiabelummerdeka/video/7626325569449315602","2026-04-10T03:05:41.984Z"
"7572776218492292360","detikcom","detik.com","2400000","65800","1356","8966","1803","Kepala BGN Regional Sumut Agung Agung Kurniawan mengaku sudah mengetahui informasi tersebut. Pihaknya sedang mengecek soal adanya cacing tanah tersebut. ""Informasinya pagi ini  saat ini sedang dicek adanya cacing tanah itu "" kata Agung Kurniawan saat dihubungi detikSumut. Agung menjelaskan akan memberikan informasi lebih lanjut soal adanya cacing tanah itu. ""Nanti akan kita informasikan lebih lanjut ya "" ucapnya. Baca berita selengkapnya hanya di detik.com! Creator: Putri #detikcom #cacingtanahmbg #mbg #makanbergizigratis #mbgmedan","detikcom cacingtanahmbg mbg makanbergizigratis mbgmedan","https://www.tiktok.com/@detikcom/video/7572776218492292360","2026-04-10T03:05:41.984Z"
"7603053095249104146","alhidamart.or.id","ALHIDAMART","393900","2681","137","155","474","Siswi SMAN 2 Kudus Meninggal Karena Kanker #innalillahi #sman2kudus #mbg #rizzameiliana #viral ","innalillahi sman2kudus mbg rizzameiliana viral","https://www.tiktok.com/@alhidamart.or.id/video/7603053095249104146","2026-04-10T03:05:41.984Z"
