commentId,videoId,videoUrl,commenterUsername,commenterNickname,commenterUid,commentText,likes,replyCount,commentDate,scrapeDate
"7580737201647551240","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","vihokratan_","laila_ليل","7119671254768550938","Salfok sama lagu nya 😆😆","0","0","2025-12-06T13:34:17.000Z","2026-04-10T03:05:41.984Z"
"7554354999027843848","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","giigiww","ʟ0ᴠᴇʟʏʏ. ɢɪɪɪ","7481451486704174081","ikan hiu:❌ ikan asin:✅","20","0","2025-09-26T11:15:41.000Z","2026-04-10T03:05:41.984Z"
"7554580853473542929","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","caramela342","Caramela🪽","7406161162905994256","kok bisa kepikiran ngasih lauk ikan hiu padahal ikan yg aman dimakan masih banyak","2","0","2025-09-27T01:52:15.000Z","2026-04-10T03:05:41.984Z"
"7554307268357997330","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","mieayam_mywife","☆° ﾟ⌡Ꭵᴿ ᑕዞᴇ𝕝ﾟ°☆","7408935882902324229","di kls gw biasanya di tanyain dlu menu ny 🗿😭","5","0","2025-09-26T08:10:34.000Z","2026-04-10T03:05:41.984Z"
"7568082044565586695","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","fahma13_","siapa aja","7540612085156316168","siapa yg mau nangkep 🗿🗿","0","0","2025-11-02T11:03:43.000Z","2026-04-10T03:05:41.984Z"
"7576168311622386450","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","raa_ree3","raa_ree","7574006255770551312","Kalimantan barat disiniii","0","0","2025-11-24T06:02:37.000Z","2026-04-10T03:05:41.984Z"
"7579272442100122376","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","kinanzz10","chen sihan_jack","7519879781577507848","tapi cara nangkep nya gimana coba😭😭🗿🗿","0","0","2025-12-02T14:48:07.000Z","2026-04-10T03:05:41.984Z"
"7575888597229994768","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","arfelravindra_","arfel","7468461107150242833","bjirrrr","0","0","2025-11-23T11:57:10.000Z","2026-04-10T03:05:41.984Z"
"7568869862659982101","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","orngmnakek","￴ ￴ ￴  ￴ ￴ ￴ ￴￴ ￴ ￴ ￴ ￴","7240704715209294854","hiu bilek 🦈:Lailah hailaloh 🗿","0","0","2025-11-04T14:00:48.000Z","2026-04-10T03:05:41.984Z"
"7556520686082409234","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","ardi_121314","𝐀𝐫𝐳𝐳2️⃣1️⃣","7248589349515854854","salam dari kalimantan barat😁","1","0","2025-10-02T07:19:44.000Z","2026-04-10T03:05:41.984Z"
